yyyy,mm,GInOut,ocCt,forEmpTeu,korEmpTeu,forEmp_10,forEmp_20,forEmp_40,forEmp_99,korEmp_10,korEmp_20,korEmp_40,korEmp_99
2025,10,4,1,52.00,0.00,0,0,26,0,0,0,0,0
2025,10,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,10,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,11,1,1,9337.50,269.50,0,567,4383,2,0,169,48,2
2025,11,2,1,69087.50,11075.00,0,19596,23317,1270,0,2577,4249,0
2025,11,3,1,296.00,104.00,0,24,136,0,0,0,52,0
2025,11,4,1,114.00,0.00,0,0,57,0,0,0,0,0
2025,11,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,11,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,12,1,1,10818.50,584.50,0,332,5241,2,0,256,162,2
2025,12,2,1,67434.00,11020.00,0,18036,23052,1464,0,2352,4334,0
2025,12,3,1,194.00,0.00,0,14,90,0,0,0,0,0
2025,12,4,1,428.00,0.00,0,14,207,0,0,0,0,0
2025,12,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,12,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,06,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,06,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,10,1,1,9750.00,452.00,0,406,4672,0,0,154,149,0
2025,10,2,1,61196.50,9013.00,0,16274,21082,1226,0,2969,3022,0
2025,10,3,1,215.00,12.00,0,59,78,0,0,0,6,0
2025,04,4,1,71.00,0.00,0,1,35,0,0,0,0,0
2025,05,1,1,13021.00,190.00,0,267,6377,0,0,60,65,0
2025,05,2,1,59588.00,9631.00,0,18706,19298,1016,0,3209,3211,0
2025,05,3,1,116.00,0.00,0,0,58,0,0,0,0,0
2025,05,4,1,60.00,0.00,0,0,30,0,0,0,0,0
2025,05,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,05,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,07,1,1,9904.00,555.75,0,292,4806,0,0,520,10,7
2025,07,2,1,58455.75,9803.00,0,17575,19033,1251,0,2687,3558,0
2025,07,3,1,60.00,60.00,0,0,30,0,0,0,30,0
2025,01,1,1,10165.00,268.00,0,261,4952,0,0,14,127,0
2025,01,2,1,70292.25,7669.00,0,20826,23418,1169,0,1829,2920,0
2025,01,3,1,1262.00,0.00,0,134,564,0,0,0,0,0
2025,01,4,1,683.00,7.00,0,131,276,0,0,7,0,0
2025,01,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,01,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,02,1,1,9496.00,249.00,0,196,4650,0,0,135,57,0
2025,02,2,1,43475.00,7979.00,0,12544,14858,540,0,1389,3295,0
2025,02,3,1,656.00,0.00,0,0,328,0,0,0,0,0
2025,02,4,1,260.00,0.00,0,0,130,0,0,0,0,0
2025,02,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,02,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,03,1,1,14693.00,373.00,0,373,7160,0,0,259,57,0
2025,03,2,1,50763.25,10603.00,0,15627,16316,1113,0,2049,4277,0
2025,03,3,1,310.00,0.00,0,0,155,0,0,0,0,0
2025,03,4,1,170.00,0.00,0,0,85,0,0,0,0,0
2025,04,1,1,15376.75,488.00,1,251,7557,5,0,150,169,0
2025,04,2,1,62934.50,8114.00,0,19849,20357,1054,0,1950,3082,0
2025,04,3,1,79.00,1.00,0,5,37,0,0,1,0,0
2025,07,4,1,198.00,0.00,0,4,97,0,0,0,0,0
2025,08,1,1,11629.00,388.75,0,609,5510,0,0,214,84,3
2025,08,2,1,67266.50,9545.00,0,20378,22191,1114,0,2263,3641,0
2025,08,3,1,620.00,30.00,0,0,310,0,0,0,15,0
2025,08,4,1,280.00,0.00,0,0,140,0,0,0,0,0
2025,08,1,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,08,2,2,0.00,0.00,0,0,0,0,0,0,0,0
2025,09,1,1,12973.00,197.00,0,390,6287,4,0,109,44,0
2025,09,2,1,62546.00,7919.00,0,17546,21204,1152,0,2387,2766,0
2025,09,3,1,74.00,26.00,0,0,37,0,0,0,13,0
2025,09,4,1,434.00,0.00,0,0,217,0,0,0,0,0
2025,06,1,1,7860.00,379.00,0,242,3809,0,0,205,87,0
2025,06,2,1,58434.50,9993.00,0,19168,18326,1162,0,2671,3661,0
2025,06,3,1,914.00,0.00,0,0,457,0,0,0,0,0
2025,06,4,1,128.00,0.00,0,2,63,0,0,0,0,0
