reqYymm,year,cstmSgn,portCd,statKor,expCnt,expDlr,impCnt,impDlr,balPayments
202412,202412,017,KRBNP,부산신항,629,40010664,97,4888945,35121719
202412,202412,020,KRBNP,부산신항,583,57018843,673,31447622,25571221
202412,202412,021,KRBNP,부산신항,856,61892441,3800,216789402,-154896961
202412,202412,023,KRBNP,부산신항,423,20470308,177,6744890,13725418
202412,202412,030,KRBNP,부산신항,20727,1846758006,39642,4589247576,-2742489570
202412,202412,033,KRBNP,부산신항,855,44092645,2207,104864658,-60772013
202412,202412,039,KRBNP,부산신항,239,31905857,227,15194175,16711682
202412,202412,040,KRBNP,부산신항,24,2630064,513,20333550,-17703486
202412,202412,041,KRBNP,부산신항,24,1224972,974,33682336,-32457364
202412,202412,050,KRBNP,부산신항,313,34929749,57,919770,34009979
202412,202412,051,KRBNP,부산신항,2,566790,107,37586647,-37019857
202412,202412,052,KRBNP,부산신항,2,68762,0,0,68762
202412,202412,053,KRBNP,부산신항,13322,422862448,723,43340264,379522184
202412,202412,054,KRBNP,부산신항,19,1913881,6,1429151,484730
202412,202412,056,KRBNP,부산신항,332,25820492,227,30176166,-4355674
202412,202412,060,KRBNP,부산신항,2540,195839316,19,3767367,192071949
202412,202412,062,KRBNP,부산신항,693,75306271,50,19231755,56074516
202412,202412,070,KRBNP,부산신항,141,5149401,78,13366858,-8217457
202412,202412,071,KRBNP,부산신항,1052,42005094,33,2021583,39983511
202412,202412,080,KRBNP,부산신항,119,8722628,67,5992061,2730567
202412,202412,081,KRBNP,부산신항,84,5399044,30,8933115,-3534071
202412,202412,082,KRBNP,부산신항,194,10096965,76,4615440,5481525
202412,202412,084,KRBNP,부산신항,107,6695783,51,9556188,-2860405
202412,202412,090,KRBNP,부산신항,21,316108,59,1364781,-1048673
202412,202412,100,KRBNP,부산신항,20,3434912,1,21595,3413317
202412,202412,101,KRBNP,부산신항,3,259746,0,0,259746
202412,202412,102,KRBNP,부산신항,134,10475269,7,258608,10216661
202412,202412,110,KRBNP,부산신항,3017,350959788,1054,230205086,120754702
202412,202412,120,KRBNP,부산신항,1586,109274686,91,10708868,98565818
202412,202412,121,KRBNP,부산신항,1167,84659143,155,28103736,56555407
202412,202412,122,KRBNP,부산신항,424,31820128,58,22925126,8895002
202412,202412,130,KRBNP,부산신항,115,5469135,32,3384992,2084143
202412,202412,131,KRBNP,부산신항,443,19170949,860,99926615,-80755666
202412,202412,140,KRBNP,부산신항,144,16195594,12,695125,15500469
