esbCntcDt,forEmpTeu,forEmp_10,forEmp_20,forEmp_40,forEmp_99,GInOut,korEmpTeu,korEmp_10,korEmp_20,korEmp_40,korEmp_99,mm,ocCt,prtAtCode,yyyy
2024-03-26 16:06:01.000,12030.50,0,447,5785,6,1,1632.00,0,130,751,0,10,1,030,2023
2024-03-26 16:06:01.000,60528.50,0,19662,19351,962,2,11510.00,0,1872,4819,0,10,1,030,2023
2024-03-26 16:06:01.000,874.00,0,300,287,0,3,0.00,0,0,0,0,10,1,030,2023
2024-03-26 16:06:01.000,464.00,0,290,87,0,4,50.00,0,50,0,0,10,1,030,2023
2024-03-26 16:06:01.000,0.00,0,0,0,0,1,0.00,0,0,0,0,10,2,030,2023
2024-03-26 16:06:01.000,0.00,0,0,0,0,2,0.00,0,0,0,0,10,2,030,2023
2024-03-26 16:06:01.000,11301.25,0,333,5483,1,1,2669.50,0,238,1209,6,11,1,030,2023
2024-03-26 16:06:01.000,64284.50,0,20014,20954,1050,2,12975.50,0,2085,5434,10,11,1,030,2023
2024-03-26 16:06:01.000,538.00,0,250,144,0,3,0.00,0,0,0,0,11,1,030,2023
2024-03-26 16:06:01.000,382.00,0,180,101,0,4,28.00,0,0,14,0,11,1,030,2023
2024-03-26 16:06:01.000,18921.25,0,610,9150,5,1,540.00,0,16,262,0,12,1,030,2023
2024-03-26 16:06:01.000,65560.50,0,19659,21720,1094,2,10056.00,0,1340,4358,0,12,1,030,2023
2024-03-26 16:06:01.000,776.00,0,630,73,0,3,0.00,0,0,0,0,12,1,030,2023
2024-03-26 16:06:01.000,702.00,0,530,86,0,4,0.00,0,0,0,0,12,1,030,2023
2024-03-26 14:25:56.000,575.00,0,423,76,0,3,0.00,0,0,0,0,01,1,030,2023
2024-03-26 14:25:56.000,574.00,0,422,76,0,4,0.00,0,0,0,0,01,1,030,2023
2024-03-26 14:25:56.000,0.00,0,0,0,0,1,77.00,154,0,0,0,01,2,030,2023
2024-03-26 14:25:56.000,0.00,0,0,0,0,2,6.00,12,0,0,0,01,2,030,2023
2024-03-26 14:25:56.000,7975.50,0,1247,3353,10,1,160.00,0,82,39,0,02,1,030,2023
2024-03-26 14:25:56.000,47204.50,0,14796,15500,626,2,10623.00,0,2307,4158,0,02,1,030,2023
2024-03-26 14:25:56.000,0.00,0,0,0,0,3,2.00,0,0,1,0,02,1,030,2023
2024-03-26 14:25:56.000,0.00,0,0,0,0,4,0.00,0,0,0,0,02,1,030,2023
2024-03-26 14:25:56.000,0.00,0,0,0,0,1,37.50,75,0,0,0,02,2,030,2023
2024-03-26 14:25:56.000,0.00,0,0,0,0,2,3.00,6,0,0,0,02,2,030,2023
2024-03-26 14:25:56.000,10887.00,0,1637,4625,0,1,1177.00,0,199,489,0,03,1,030,2023
2024-03-26 14:25:56.000,60972.00,0,18978,19782,1080,2,9813.00,0,1943,3935,0,03,1,030,2023
2024-03-26 14:25:56.000,0.00,0,0,0,0,3,0.00,0,0,0,0,03,1,030,2023
2024-03-26 14:25:56.000,42.00,0,42,0,0,4,0.00,0,0,0,0,03,1,030,2023
2024-03-26 14:25:56.000,0.00,0,0,0,0,1,16.00,32,0,0,0,03,2,030,2023
2024-03-26 14:25:56.000,0.00,0,0,0,0,2,39.50,79,0,0,0,03,2,030,2023
2024-03-26 14:55:57.000,8289.00,0,509,3890,0,1,1469.00,0,197,636,0,07,1,030,2023
